2022-11-01 06:11:05.4032 [INFO; Root]  KinematicSoup Technologies Inc.
2022-11-01 06:11:05.4077 [INFO; Root]  Reactor Server v0.10.1
2022-11-01 06:11:05.4304 [WARNING; Reactor.Server]  Error parsing model file 'model.bin'. Defaulting to dynmaic model generation.
2022-11-01 06:11:05.4339 [INFO; Reactor.Server]  Missing API configuration. PlayerAPI features disabled.
2022-11-01 06:11:05.4445 [DEBUG; Root]  Loading Asset Scripts
2022-11-01 06:11:05.4470 [DEBUG; Root]  Loading Room Configs
2022-11-01 06:11:05.4515 [DEBUG; Root]  Initializing PhysX
2022-11-01 06:11:05.4672 [DEBUG; Root]  Loading PhysX geometry
2022-11-01 06:11:05.4697 [INFO; Root]  Loaded 8 geometries
2022-11-01 06:11:05.4697 [INFO; Root]  Loaded 2 geometries
2022-11-01 06:11:05.4697 [DEBUG; Root]  Loading entity prefabs
2022-11-01 06:11:05.4842 [INFO; Root]  Loaded 5 entity prefabs
2022-11-01 06:11:05.4842 [DEBUG; Root]  Loading entity instances
2022-11-01 06:11:05.4989 [DEBUG; Root]  Initializing scripts
2022-11-01 06:11:05.5059 [DEBUG; Root]  Room setup complete
2022-11-01 06:11:05.5070 [INFO; Reactor.ServerRoom]  Starting room 1
2022-11-01 06:11:05.5070 [INFO; Root]  Sending client updates every 2 frames
2022-11-01 06:11:05.5070 [INFO; Root]  Attempting to sync simulation time to match elapsed time.
2022-11-01 06:11:05.5075 [INFO; Root]  Opening TCP port 8000
2022-11-01 06:11:10.2587 [INFO; Root]  Client(id = 1, address = 127.0.0.1:60671) connected
2022-11-01 06:11:10.2617 [DEBUG; Root]  Client(id = 1, address = 127.0.0.1:60671) model validated
2022-11-01 06:11:10.2758 [DEBUG; Root]  Client(id = 1, address = 127.0.0.1:60671) authenticated
2022-11-01 06:11:10.2945 [INFO; Root]  Player False joined
2022-11-01 06:11:12.1398 [INFO; Root]  20
2022-11-01 06:11:13.1316 [INFO; Root]  OnOverlap
2022-11-01 06:11:14.6703 [INFO; Root]  OnOverlap
2022-11-01 06:11:16.6243 [INFO; Root]  OnOverlap
2022-11-01 06:11:17.2854 [INFO; Root]  OnOverlap
2022-11-01 06:11:17.6696 [INFO; Root]  OnOverlap
2022-11-01 06:11:18.0725 [INFO; Root]  server received request to spawn = 5
2022-11-01 06:11:18.0735 [INFO; Root]  5
2022-11-01 06:11:18.0755 [INFO; Root]  OnOverlap
2022-11-01 06:11:18.0766 [INFO; Root]  Collision StartedTrue   False
2022-11-01 06:11:18.0786 [INFO; Root]  Collision Updated
2022-11-01 06:11:18.1013 [INFO; Root]  Collision Updated
2022-11-01 06:11:18.1166 [INFO; Root]  Collision Updated
2022-11-01 06:11:18.1317 [INFO; Root]  Collision Updated
2022-11-01 06:11:18.1469 [INFO; Root]  Collision Updated
2022-11-01 06:11:18.1624 [INFO; Root]  Collision Updated
2022-11-01 06:11:18.1776 [INFO; Root]  Collision Updated
2022-11-01 06:11:18.1927 [INFO; Root]  Collision Updated
2022-11-01 06:11:18.2093 [INFO; Root]  collision Lost
2022-11-01 06:11:18.5302 [INFO; Root]  OnOverlap
2022-11-01 06:11:21.0884 [INFO; Root]  OnOverlap
2022-11-01 06:11:21.3043 [INFO; Root]  Collision StartedTrue   False
2022-11-01 06:11:21.3194 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.3355 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.3506 [INFO; Root]  OnOverlap
2022-11-01 06:11:21.3506 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.3666 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.3822 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.3978 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.4130 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.4286 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.4441 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.4596 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.4751 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.5067 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.5072 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.5378 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.5533 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.5688 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.5843 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.5999 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.6154 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.6310 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.6466 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.6626 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.6776 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.6931 [INFO; Root]  Collision Updated
2022-11-01 06:11:21.7087 [INFO; Root]  Collision Updated
